ID_accident,Latitude,Longitude,Date_and_hour,Security_measures,User_of_security_measures,Place,Sex,User_category,Intersection,Weather_condition,Collision,Surface,Circulation,Width_of_the_roadway,Width_of_the_central_bar,Number_of_channels,Road_category,Plan,Situation,Year_of_birth,Pedestrian_action,Health_condition,Point_of_shock,Manuver,Vehicle_category
"2,02E+11",4656731,0036577,2017-05-19T17:10:00+02:00,Seat Belt,Yes,1,"Woman,Woman","Pedestrian,Driver",2,Heavy Rain,Other Collision,Wet,With separated carriageways,200,38,4,Departmental Road,Straight section,On the roadway,"20,021,994","Playing - running,Moving","Injured,Unharmed",,,Solo car
"2,02E+11",4638559,0023203,2017-12-23T19:20:00+01:00,"Helmet,Seat Belt,Seat Belt","Yes,Yes,Yes","1,1,2","Man,Woman,Man","Driver,Driver,Passenger",1,Light Rain,Two Vehicles - Head-on,Wet,Bidirectional,29,0,2,Departmental Road,Straight section,On the roadway,"200,019,621,956","Moving,Moving,Moving","Injured,Unharmed,Unharmed","Front left,Front left",Without changing direction,"Moped < 50 cc,Solo car"
"2,01E+11",,,2014-01-15T18:15:00+01:00,"Seat Belt,Seat Belt,Seat Belt","Yes,Yes,Yes","1,1,3","Woman,Man,Man","Driver,Driver,Passenger",1,Light Rain,Two Vehicles – Rear-end,Wet,Bidirectional,70,0,2,Municipal Road,Straight section,On the roadway,"194,619,742,009","Moving,Moving,Moving","Unharmed,Unharmed,Injured","Rear,Front","Same direction,Without changing direction","Solo car,Solo car"
"2,01E+11",,,2014-02-17T08:25:00+01:00,"Seat Belt,Other","Yes,Not Determined",1,"Man,Man","Driver,Pedestrian",1,Normal,Other Collision,Wet,Bidirectional,70,0,2,Municipal Road,Straight section,On the roadway,"19,801,959","Moving,Moving in the direction of the striking vehicle","Unharmed,Injured",Front,Without changing direction,Solo car
"2,01E+11",,,2014-04-05T05:20:00+02:00,"Seat Belt,Seat Belt","Yes,Yes","1,2","Man,Man","Driver,Passenger",6,Normal,Other Collision,Normal,With separated carriageways,84,0,4,Municipal Road,Straight section,On the roadway,"19,911,987","Moving,Moving","Injured,Injured",Front,Without changing direction,Solo car
"2,01E+11",,,2014-06-17T18:50:00+02:00,"Seat Belt,Seat Belt,Seat Belt,Seat Belt,Seat Belt,Seat Belt","Yes,Yes,Yes,Yes,Yes,Yes","3,1,4,1,1,2","Woman,Man,Man,Man,Woman,Woman","Passenger,Driver,Passenger,Driver,Driver,Passenger",1,Normal,Three or More Vehicles – Chain Reaction,Normal,Bidirectional,140,0,2,National Road,Straight section,On the roadway,"200,419,672,006,197,000,000,000","Moving,Moving,Moving,Moving,Moving,Moving","Injured,Unharmed,Injured,Unharmed,Unharmed,Injured","Rear,Front,Rear","Shifted to the left,Same direction,Same direction","Solo car,Solo light utility vehicle 1,Solo car"
"2,01E+11",,,2014-06-20T18:05:00+02:00,"Other,Seat Belt","Not Determined,Yes","1,1","Woman,Woman","Driver,Driver",6,Normal,Two Vehicles – Side Collision,Normal,Bidirectional,70,0,2,Municipal Road,Straight section,On the roadway,"1,968,193","Moving,Moving","Injured,Unharmed","Front,Right side","Without changing direction,Without changing direction","Solo car,Bicycle"
"2,01E+11",4657781,0034280,2014-07-22T15:00:00+02:00,"Reflective Equipmen,Seat Belt","No,Yes","1,1","Man,Man","Driver,Driver",3,Normal,Two Vehicles - Head-on,Normal,One way,0,0,1,Municipal Road,Straight section,On the roadway,"19,921,945","Moving,Moving","Injured,Unharmed","Front,Front","Turning left,Turning left","Solo car,Bicycle"
"2,01E+11",,,2014-08-22T10:40:00+02:00,"Helmet,Seat Belt","Yes,Yes","1,1","Man,Man","Driver,Driver",2,Normal,Two Vehicles – Side Collision,Normal,Bidirectional,70,0,2,Municipal Road,Straight section,On the roadway,"19,911,952","Moving,Moving","Injured,Unharmed","Front,Front left","Without changing direction,Without changing direction","Scooter < 50 cc,Solo car"
"2,01E+11",4658950,0034225,2014-09-06T14:50:00+02:00,"Helmet,Seat Belt,Seat Belt","Yes,Yes,Yes","1,1,2","Man,Man,Woman","Driver,Driver,Passenger",2,Normal,Two Vehicles – Side Collision,Normal,Bidirectional,64,0,2,Municipal Road,Straight section,On the roadway,"198,019,391,917","Moving,Moving,Moving","Injured,Unharmed,Unharmed","Front,Front","Without changing direction,Merging","Solo car,Moped < 50 cc"
"2,01E+11",4658894,0036010,2014-10-06T20:05:00+02:00,Other,Not Determined,,Woman,Pedestrian,1,Strong Wind - Storm,Other Collision,Wet,,0,0,0,Municipal Road,,,1964,Moving,Injured,,,Solo car
"2,01E+11",,,2014-11-16T15:50:00+01:00,"Seat Belt,Seat Belt,Seat Belt,Seat Belt","Yes,Yes,Yes,Yes","1,1,1,2","Man,Man,Woman,Woman","Driver,Driver,Driver,Passenger",1,Normal,Three or More Vehicles – Chain Reaction,Wet,Bidirectional,120,0,2,Municipal Road,Straight section,On the roadway,"1,963,198,419,811,960","Moving,Moving,Moving,Moving","Unharmed,Unharmed,Unharmed,Injured","Rear,Rear,Front","Same direction,Same direction,Without changing direction","Solo car,Solo car,Bus"
"2,01E+11",4656368,0036657,2014-12-06T13:50:00+01:00,Helmet,Yes,1,Man,Driver,1,Normal,Two Vehicles – Side Collision,Normal,Bidirectional,70,0,2,Municipal Road,Straight section,On the roadway,1954,Moving,Injured,"Front,Left side","Without changing direction,Without changing direction","Bicycle,Scooter < 50 cc"
"2,01E+11",,,2014-12-12T20:05:00+01:00,Seat Belt,Yes,1,Man,Driver,1,Light Rain,Other Collision,Wet,With separated carriageways,170,10,4,Departmental Road,In a left curve,On the roadway,1986,Moving,Injured,Front,Shifted to the right,Solo car
"2,01E+11",,,2014-12-11T20:10:00+01:00,"Seat Belt,Seat Belt,Seat Belt,Seat Belt,Seat Belt,Seat Belt","Yes,Yes,Yes,Yes,Yes,Yes","2,2,1,1,1,1","Woman,Man,Woman,Man,Man,Man","Passenger,Passenger,Driver,Driver,Driver,Driver",1,Light Rain,Three or More Vehicles – Chain Reaction,Oily,With separated carriageways,168,0,4,Departmental Road,In a right curve,On the roadway,"199,719,981,971,196,000,000,000","Moving,Moving,Moving,Moving,Moving,Moving","Injured,Injured,Unharmed,Unharmed,Injured,Unharmed","Rear,Rear,Rear,Front","Same direction,Same direction,Same direction,Same direction","Solo car,Solo car,Solo car,Solo car"
"2,01E+11",4691900,0044500,2014-10-28T16:00:00+01:00,"Seat Belt,Helmet","Not Determined,Yes","1,1","Man,Man","Driver,Driver",1,Dazzling Weather,Two Vehicles – Side Collision,Normal,Bidirectional,75,0,2,Departmental Road,Straight section,On the roadway,"19,891,974","Moving,Moving","Unharmed,Killed","Front right,Right side","Without changing direction,Turning left","Motorcycle > 125 cc,Solo heavy goods vehicle > 7 tons"
"2,01E+11",,,2013-08-21T21:00:00+02:00,"Seat Belt,Seat Belt","Yes,Yes","1,1","Man,Man","Driver,Driver",1,Normal,Two Vehicles – Side Collision,Normal,Bidirectional,58,0,0,Departmental Road,Straight section,On the shoulder,"19,801,982","Moving,Moving","Killed,Unharmed","Front right,Right side","Without changing direction,Without changing direction","Solo car,Solo car"
"2,01E+11",,,2014-10-03T18:30:00+02:00,"Seat Belt,Seat Belt,Seat Belt","Yes,Yes,Yes","1,1,2","Woman,Man,Woman","Driver,Driver,Passenger",2,Dazzling Weather,Two Vehicles – Side Collision,Normal,Bidirectional,88,0,1,Departmental Road,Straight section,On the roadway,"192,719,841,989","Moving,Moving,Moving","Killed,Unharmed,Unharmed","Right side,Front","Merging,Without changing direction","Solo car,Solo car"
"2,01E+11",,,2014-11-13T13:15:00+01:00,"Helmet,Seat Belt","Yes,Yes","1,1","Man,Woman","Driver,Driver",1,Normal,Two Vehicles – Rear-end,Normal,Bidirectional,60,0,2,Departmental Road,,On the roadway,"1,998,196","Moving,Moving","Killed,Unharmed","Rear left,Front","Same direction,Same direction","Solo light utility vehicle 1,Scooter < 50 cc"
"2,01E+11",,,2012-06-23T10:15:00+02:00,Helmet,Yes,1,Man,Driver,1,Normal,Other Collision,Normal,Bidirectional,50,0,2,Departmental Road,In a left curve,On the roadway,1985,Moving,Injured,Front,Without changing direction,Motorcycle > 125 cc
"2,01E+11",,,2012-09-21T22:00:00+02:00,"Seat Belt,Seat Belt","No,Yes","3,2","Man,Man","Passenger,Passenger",1,Normal,No Collision,Normal,Bidirectional,50,0,2,Departmental Road,Straight section,On the roadway,"19,941,991","Moving,Moving","Injured,Injured",,Without changing direction,Solo car
"2,01E+11",,,2012-11-24T15:45:00+01:00,Seat Belt,Yes,1,Man,Driver,1,Normal,No Collision,Normal,Bidirectional,0,75,2,National Road,Straight section,On the shoulder,1966,Moving,Injured,Front,,Solo car
"2,01E+11",,,2013-11-15T19:45:00+01:00,"Seat Belt,Other","Yes,Not Determined",1,"Woman,Woman","Driver,Pedestrian",1,Normal,Other Collision,Wet,Bidirectional,61,0,2,Departmental Road,In a left curve,On the roadway,"19,751,964","Moving,Crossing","Unharmed,Injured",Front,Without changing direction,Solo car
"2,01E+11",,,2013-01-29T12:30:00+01:00,"Seat Belt,Seat Belt","Yes,Yes","1,1","Man,Woman","Driver,Driver",1,Light Rain,Two Vehicles – Rear-end,Wet,With variable assignment lanes,38,0,3,National Road,Straight section,On the roadway,"19,881,974","Moving,Moving","Unharmed,Injured","Rear,Front","Without changing direction,Without changing direction","Solo car,Solo car"
"2,01E+11",,,2013-03-28T23:15:00+01:00,Seat Belt,No,1,Man,Driver,1,Normal,Other Collision,Normal,Bidirectional,60,0,2,Municipal Road,Straight section,On the roadway,1989,Moving,Injured,Front,Shifted to the left,Solo car
"2,01E+11",,,2013-07-05T09:30:00+02:00,"Helmet,Helmet,Seat Belt","Yes,Yes,Yes","1,2,1","Man,Woman,Man","Driver,Passenger,Driver",2,Normal,Two Vehicles – Side Collision,Normal,Bidirectional,65,0,2,Departmental Road,Straight section,On the roadway,"196,919,671,952","Moving,Moving,Moving","Unharmed,Injured,Unharmed","Front right,Front left","Without changing direction,Same direction","Motorcycle > 125 cc,Solo light utility vehicle 1"
"2,01E+11",,,2013-08-04T13:00:00+02:00,"Seat Belt,Helmet","Yes,Yes","1,1","Man,Man","Driver,Driver",3,Normal,No Collision,Normal,Bidirectional,0,0,2,Departmental Road,Straight section,On the roadway,"19,411,991","Moving,Moving","Unharmed,Injured",Left side,"Without changing direction,Turning left","Motorcycle > 125 cc,Solo car"
"2,01E+11",,,2013-08-22T02:05:00+02:00,Seat Belt,No,1,Man,Driver,1,Normal,Other Collision,Normal,With separated carriageways,120,0,4,Departmental Road,Straight section,On the roadway,1987,Moving,Injured,Left side,Shifted to the left,Solo car
"2,01E+11",4652200,0024400,2012-01-17T18:30:00+01:00,"Seat Belt,Seat Belt","Yes,Yes","1,1","Man,Man","Driver,Driver",2,Normal,Two Vehicles – Rear-end,Normal,Bidirectional,70,0,2,Departmental Road,Straight section,On the roadway,"19,811,933","Moving,Moving","Injured,Unharmed","Front,Rear right",Turning left,"Solo car,Solo car"
"2,01E+11",,,2012-06-23T20:45:00+02:00,"Seat Belt,Seat Belt","Yes,Not Determined","1,2","Man,Man","Driver,Passenger",1,Normal,No Collision,Normal,Bidirectional,50,0,0,Municipal Road,Straight section,On the roadway,"19,891,988","Moving,Moving","Unharmed,Injured",Multiple impacts (rollovers),Without changing direction,Solo light utility vehicle 1
"2,01E+11",,,2012-08-05T08:15:00+02:00,Seat Belt,Yes,1,Man,Driver,1,Normal,No Collision,Normal,With separated carriageways,70,33,0,Motorway,Straight section,On the shoulder,1949,Moving,Injured,Multiple impacts (rollovers),Without changing direction,Solo car
"2,02E+11",,,2016-04-14T18:15:00+02:00,"Seat Belt,Seat Belt","Yes,Yes","1,1","Man,Woman","Driver,Driver",9,Light Rain,Two Vehicles – Side Collision,Wet,Bidirectional,106,0,3,Departmental Road,Straight section,On the roadway,"19,741,995","Moving,Moving","Injured,Unharmed","Front left,Front right",Overtaking on the left,"Solo car,Solo car"
"2,02E+11",,,2016-12-27T15:15:00+01:00,"Seat Belt,Helmet,Helmet","Not Determined,Yes,Yes","1,2,1","Man,Woman,Man","Driver,Passenger,Driver",1,Normal,Two Vehicles – Side Collision,Normal,Bidirectional,87,0,1,Departmental Road,Straight section,On the roadway,"197,219,991,981","Moving,Moving,Moving","Unharmed,Injured,Injured","Front,Rear right","Without changing direction,Turning left","Motorcycle > 125 cc,Solo light utility vehicle 1"
"2,02E+11",,,2016-10-30T20:30:00+01:00,"Seat Belt,Seat Belt,Seat Belt,Seat Belt,Seat Belt","Yes,Yes,Yes,No,Yes","8,1,4,3,2","Man,Man,Man,Man,Man","Passenger,Driver,Passenger,Passenger,Passenger",1,Normal,No Collision,Normal,Bidirectional,61,0,0,Departmental Road,Straight section,,"19,721,993,199,419,700,000","Moving,Moving,Moving,Moving,Moving","Unharmed,Unharmed,Unharmed,Injured,Unharmed",,Without changing direction,Solo light utility vehicle 1
"2,02E+11",,,2016-12-09T18:45:00+01:00,"Seat Belt,Reflective Equipmen","Yes,Not Determined","1,1","Man,Man","Driver,Driver",6,Normal,Two Vehicles – Side Collision,Normal,Bidirectional,0,0,2,Departmental Road,Straight section,On the roadway,"19,951,944","Moving,Moving","Unharmed,Injured","Front right,Rear right","Merging,Without changing direction","Solo car,Bicycle"
"2,02E+11",4647880,0083390,2016-03-02T14:30:00+01:00,"Seat Belt,Seat Belt","Yes,Yes","1,2","Man,Woman","Driver,Passenger",1,Normal,Other Collision,Normal,,0,61,2,Municipal Road,In a right curve,On the roadway,"19,351,943","Moving,Moving","Killed,Injured",Front left,Without changing direction,Solo car
"2,02E+11",,,2016-07-13T12:00:00+02:00,"Seat Belt,Seat Belt","Yes,Yes","1,1","Woman,Man","Driver,Driver",1,Normal,Two Vehicles - Head-on,Normal,Bidirectional,0,0,2,Departmental Road,Straight section,On the roadway,"19,381,924","Moving,Moving","Injured,Injured","Front,Front","Overtaking on the right,Without changing direction","Solo car,Solo car"
"2,02E+11",,,2016-10-19T13:45:00+02:00,"Helmet,Seat Belt","Yes,Yes","1,1","Man,Woman","Driver,Driver",1,Normal,Two Vehicles – Side Collision,Normal,Bidirectional,0,0,2,Departmental Road,,On the roadway,"19,991,985","Moving,Moving","Injured,Unharmed","Right side,Rear left","Overtaking on the left,Turning left","Scooter < 50 cc,Solo car"
"2,02E+11",4708745,0017369,2017-09-21T03:20:00+02:00,"Seat Belt,Seat Belt,Seat Belt,Seat Belt,Seat Belt","Not Determined,Not Determined,Not Determined,Not Determined,Not Determined","8,7,1,9,2","Man,Man,Man,Man,Man","Passenger,Passenger,Driver,Passenger,Passenger",1,Normal,Other Collision,Normal,Bidirectional,50,0,2,Departmental Road,In a right curve,On the shoulder,"20,041,998,197,519,800,000","Moving,Moving,Moving,Moving,Moving","Injured,Injured,Injured,Injured,Injured",Front,Without changing direction,Solo car
"2,02E+11",4627066,0080519,2018-01-20T01:30:00+01:00,car seat or booster,Not Determined,1,Woman,Driver,1,Light Rain,Other Collision,Wet,Bidirectional,,,2,Departmental Road,Straight section,On the shoulder,1990,Moving,Injured,Multiple impacts (rollovers),Shifted to the right,Solo car
"2,02E+11",4663277,0028055,2018-03-02T23:45:00+01:00,"Seat Belt,Seat Belt,Seat Belt,Seat Belt,Seat Belt,Seat Belt,Seat Belt,Seat Belt","Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes","1,3,1,4,2,2,5,3","Woman,Woman,Man,Man,Woman,Man,Woman,Woman","Driver,Passenger,Driver,Passenger,Passenger,Passenger,Passenger,Passenger",1,Normal,Two Vehicles - Head-on,Normal,Bidirectional,72,0,2,Departmental Road,In a right curve,On the roadway,"19,842,010,198,520,100,000,000,000,000,000","Moving,Moving,Moving,Moving,Moving,Moving,Moving,Moving","Killed,Injured,Killed,Injured,Injured,Injured,Injured,Injured","Front,Front","Overtaking on the left,Without changing direction","Solo car,Solo car"
"2,02E+11",4662766,0030556,2018-03-29T09:00:00+02:00,"Other,Seat Belt","Not Determined,Yes","1,1","Woman,Man","Driver,Driver",1,Normal,Other Collision,Normal,Bidirectional,60,0,2,Departmental Road,Straight section,On the roadway,"19,661,976","Moving,Moving","Injured,Unharmed","Right side,Front","Without changing direction,Merging","Bicycle,Solo car"
"2,02E+11",4661166,0038444,2018-04-10T07:20:00+02:00,"Seat Belt,Seat Belt","Yes,Yes","1,1","Man,Man","Driver,Driver",1,Light Rain,Other Collision,Wet,Bidirectional,,,2,Municipal Road,Straight section,On the shoulder,"19,901,998",,"Injured,Injured","Front,Multiple impacts (rollovers)","Without changing direction,Without changing direction","Solo light utility vehicle 1,Solo car"
